text,label,lang
area damaged pipe land office ttle still missing noboy urgent,tenure,local
land unafe help pipe land children flood old,tenure,local
rquest pipe lease pipe smell supply peple came drin water supply urgent,water,local
plot people smll help land plot plot street plot old,tenure,local
wire illegal please children bloked tap wire affeted supply,water,local
meter meter liht tank unsafe nobdy community tank request urgnt wire wire power,power,local
failies smell land sreet blocked old street bloked tite,road,local
community children road promised smell reuest smell path,sanitation,local
since action waste path supply blocked diry waste,sanitation,local
dain affectd blocked missing came cut our delayed meter,sanitation,local
nigt unsafe illegal smell bloked ttle action dust,sanitation,local
help path title drain illegl morning flod street road many dran,sanitation,local
still plot urgent please street affected lease nobody sreet,road,local
dust path road damaged dust ward many blocked,road,local
road suply help help tap power pease tank,water,local
children came dust missing land plot tile,tenure,local
morning path dust path usafe nobody old sice promised,road,local
came illegal meter meter month water supply missig many please people waer,water,local
last children missing delayed nobody plot plot our,tenure,local
cut cut watr blocked promised our,water,local
wire supply deayed broken tank delyed last brken action,water,local
families waste dirty drain pipe our dirty,sanitation,local
ward urgent pipe land still affected broken people,water,local
cut action many community broken,power,local
urgent water dirty flood flood drain waste agin,sanitation,local
illegal unsae title lese title old lease needed sill delayed office,tenure,local
unsafe title wire dity still meter light,power,local
wire old metr dust old metr peope,power,local
smell waste broken families area ward needed flood dirty blocked reuest,sanitation,local
tank drty title actin area pipe our tank pipe,water,local
needd stret again month famlies leae famlies stret road,road,local
drain meter illegal dust help poer meter power ward meter,power,local
our road children action supply area power street lease,road,local
area tap land land urget street athority land title tank,tenure,local
tank plot bloked land came street community land plot land needed,tenure,local
spply title water nobody meter plot office ward power help night,tenure,local
path dust wate path help water night street road path,road,local
month dirty wire unsae ilegal illegal cut please powr missing,power,local
meter power promised morning title old deayed morning,tenure,local
street street flod light request title,road,local
path unsafe blocked our path cut nobody water authority,road,local
drain families food affected bloced flood our brokn old,sanitation,local
pipe street children area smll affected came blocked,sanitation,local
request area nbody supply dain sice month damaged promised blocked drain food smell,sanitation,local
blocked authority wate came path came flood damaged unsafe,sanitation,local
street wire cut came ward office stret request meter meter nbody sell,power,local
illegal lease power watr light cut nobody needed plese dust,power,local
water nobody night pipe path smell watr promisd supply help community tank,water,local
help area old water pipe water lease dirty,water,local
tap water nobody people damaged sreet,water,local
steet cut missng month pipe land families pipe,water,local
delayed last agan damaged ilegal illegal title lese since please lease waste,tenure,local
water ilegal water supply cut still unsafe,water,local
meter smel community power dust illegl,power,local
still drty wire delayed title broken drain ward unsafe plot still,tenure,local
land neded light ward urgent,tenure,local
metr cut ilegal cildren power ilegal flood lght illegal noody broken,power,local
old path ward dirty delayd area tank pipe night cut many,water,local
flood tank supply waste cut still affected last water,sanitation,local
authority delayed snce authoriy proised help title missing,tenure,local
path delayed title power children land power pipe,tenure,local
community dity people meter nobody promised old,sanitation,local
afected drain pipe ward tap drain water,water,local
affectd cut dust nobody flood unsafe area blockd afected power path,road,local
poer meter unsafe flood cildren pipe flood,sanitation,local
urgent mter morning light many cut morning wire action help meter,power,local
dust title road blocked flood nobody needd unsafe,road,local
night dirty water water tap smell area our,water,local
pipe land waste tank cut authorty help people illegal still afected land title,tenure,local
tank ttle area land missing authority title stll,tenure,local
flod boken power path many our supply,sanitation,local
land nobody stll dlayed missing plot families broken wire,tenure,local
tap water affected dirty drain wase waste,sanitation,local
families community unsfe pipe last street waer,water,local
tank tap missing tank authority supply,water,local
illegal supply children people action plot meter smell land,tenure,local
many plot tite many lght wire drain delayed missing,tenure,local
dust many cut wire illegal still waer liht broken,power,local
morning urgent came path wire unsafe dust poer,road,local
our damaged plot help nobody mornig land road,tenure,local
sell path came meter famlies wire damged blocked action path ilegal flood,road,local
still dust cut since blocked pople action food,sanitation,local
request water request morning title last missig title,tenure,local
area office water tank since supply sreet illegal,water,local
cut pipe tap dirty urgent boken many plot,water,local
land land blocked lease acton mising month dust agin pipe,tenure,local
people smell broken drain waste please people nbody,sanitation,local
damagd promised night dust waste damaged road affected community,road,local
dity usafe since water land fmilies cut,water,local
morning tank road many cut illegal dlayed broken,water,local
promised lease authority broken land missing tank people,tenure,local
drin wire please waste street dirty area moth,sanitation,local
cut tank mornig old dust waste water help,water,local
path office office came blocked ward childrn blocked drain families,road,local
damaged road dirty authority last dirty road stret ward street help,road,local
tap sell cut office urgnt tank community,water,local
came delayed rquest power ttle lease title,tenure,local
flod dust chidren office supply unsafe supply,water,local
dirty action waste drain title people lease smell plot our waste help,sanitation,local
blocked office children bloked blocked dirty damaged delayed people,sanitation,local
dust flood power pwer action lease nigt,power,local
fmilies plot plot waste last nobody lease,tenure,local
water supply urgent tank watr water help ward street old road community,water,local
niht drain broken dirty affected since dran waste agan light flod flood,sanitation,local
still lease water plot area flood many please,sanitation,local
illegal unsafe snce affected urgent cut cut wire lase missing dran,power,local
road chidren morning office usafe authority path tap dust water wire,road,local
families ttle power office urent missing peple tile lease illeal title lease power,tenure,local
came last path affeced flood ilegal,road,local
came noboy steet street area many street smell missig month,road,local
unsae affected water path many meter promised promised ward help blocked,sanitation,local
meter road month unsafe damaged help damged still street authoity morning,road,local
urgent unsae authority request tite wire drain,sanitation,local
mrning plot neeed cut still cut broen help cut,power,local
dran broken land ward blocked morning dity cut,sanitation,local
cut authority wire drain area drty urgent tank agan morning,water,local
land tap damged nobody people tap pipe cut plot,water,local
wate bocked old old families many flod waste area waste mnth request plot,sanitation,local
smll dran ward missing smell delayed still flod came families,sanitation,local
illegal since area meter power cut community athority pwer cut power light broken,power,local
title stret sice flood street unsae broken sice,road,local
drain dust street aain children road reqest missing plot,road,local
many morning supply power office water tap pipe please,water,local
power food wire area broen families came dust,power,local
tap pipe our supply request famiies since flod,water,local
ward broken ward tap authoity plot wire tank night supply tank,water,local
since many illegl night meter night pease metr meter lease unafe childen,power,local
our came food cut old pipe old pipe dust,water,local
missing offce power land illegal food smel lease wter,tenure,local
supply blocked area waer smell nobody waste wase,sanitation,local
supply since supply road last agin office supply old missing brken street tank tank sice tank,water,local
stll cut area needed pipe still drain suply nobody pipe,water,local
waste wase drain light unsafe promised dust broken missig,sanitation,local
broken unafe dust unsafe reqest actin childen path plot,road,local
families brken title title illegal help smell night our help,tenure,local
peope cut title needed power leae came,power,local
promised meter action missing power promised area lease our unafe,power,local
metr again mornig request drain,water,local
path our meter ward path damagd path needd blocked damaged land,road,local
action needed flod ligt power night path cut came affected requet cut flood,power,local
ward power affected flood unafe water road our many children,power,local
land lease ilegal illegal wire missing acion pipe help night area,tenure,local
title area wste flod dity promsed smell,sanitation,local
again plot pipe children title road road daaged community came land dust land,road,local
people brokn land office needed pleae light dirty night people,sanitation,local
drain came night cut dirty poer flood smell help dirty,sanitation,local
illegal community authority unsafe ward supply path path flood last blocked,road,local
cildren smll area pwer aain water authrity road,road,local
nobody dity tap drin acton action drain road,sanitation,local
nobody smell unsafe water unafe please families request,road,local
old pipe path affected delayed damaed path,road,local
waste rquest since waste nobody area dirty came,sanitation,local
illegal morning office illegal people cut,power,local
came broken street children illeal smell commuity reuest drain,sanitation,local
road dust help road tank road damaged came,road,local
light illegal power usafe promised wire request cut affeced people unsafe,power,local
morning please tank offie road plot nobdy dust ward dust,road,local
boken dirty waste ward blcked illegal old children,sanitation,local
missing blocked drain missing broken tile lease help pease water still morning reqest,tenure,local
drain office agan many power poer delyed urent cut afected blocked wase water,power,local
last broken land since old illegal ilegal promised damaged,tenure,local
wire nobody broken dirty affected mnth drain pipe still power,power,local
tap tank drin pease authority blocked title smell water area cut cut affected again dirty,sanitation,local
land pipe nigt tap metr tap delayed unafe supply help,water,local
suply water path night supply mising community,water,local
deayed authority waste lease flod wase morning people drain,sanitation,local
title land morning wire lese path pipe delayed urgent,tenure,local
please road ward diry wire drain ward path,road,local
flod help many water meter pleae promised power pwer,power,local
unsae ilegal road power unsae road community illegal sice damaged nigt,power,local
again families dust street our watr,road,local
monh cut last tap cut tap light tap tank area,power,local
unsafe stret damaged wire cut wate afected offce,road,local
smell waste missig drain action tank ward dran our,sanitation,local
blockd diry powr plot smell again,tenure,local
wire road last pipe tank moning tap water tank old,water,local
commuity ward dust wire night wire water usafe street cut many damaged,power,local
flood request stil urgent pipe cut tank metr plot cut meter wter pipe ward,water,local
needed dirty sell blocked title dirty supply pipe dirty many,sanitation,local
our commnity supply waste promised night aain dirty drain dain drty families,sanitation,local
drain land morning came still reqest tite,sanitation,local
wste broken cmmunity niht children usafe please dirty bloked,sanitation,local
again missing land pipe plot light land urgent tap plot tap still,tenure,local
still path wire night affeted unsafe power cut night,power,local
wire ligt light came month drain wire,power,local
dust flood unsafe many action stret path cut broken road,road,local
cut month needed request land community people waste waste dity,sanitation,local
unsafe damaged pipe street area stret authority last path moring waste,road,local
water water brken childrn sine pipe light tap please,water,local
boken road smell office request pipe road area pipe plase,water,local
blocked chldren waer broen ugent suply dust damaged,water,local
water water needed moth unsafe drain monh broen again month,sanitation,local
suppy area office road urget path plase road dust urget,road,local
food dirty smell dirty drain ward dirty unsafe,sanitation,local
dirty stll please road light came land water request unsafe,road,local
lease area ligt ligt wire meter night,power,local
diry dirty cut came dirty proised waer still blocked pipe,water,local
help wate please,tenure,local
promised lease title illegal missing road sill title delayed since,tenure,local
street damaged dust powr community dust our area delayed,road,local
smell since dirty flood dust,sanitation,local
needed suply drain urgent still water water cut came drain ugent,sanitation,local
authority meter mnth tank still power broen,water,local
promsed morning flood water month again broken moth road cut,water,local
wire illegal power cut cut plot needed urgent morning meer waste came,power,local
month wire nobody morning illegl power dust blocked still,power,local
last light illegal waer tap area,water,local
action our illeal street plot authority wire,power,local
illegal many peple month land mising office action damagd ttle land,tenure,local
smell drain damged path road promised path blocked again water,road,local
illegal needed street request urgent meter community cut,power,local
sine chilren power area smell metr meter delayed unsafe people,power,local
mising waer drty flood help many dain dity area wter delayed blocked proised community smell,sanitation,local
wire pipe people dirty cut land water ward area powr unsafe missing wate needed,power,local
flood chilren smell dain flood unsafe nobody power help plot,sanitation,local
community since commnity meter light light mter damaged promised wire,power,local
wire cut office poer promised,power,local
broken wire sine month illegal light help delayed came wste light,power,local
children light still communty damaged cut,power,local
water suppy bloced came land athority last supply cut request broken,water,local
street road community stret ofice childrn stil path,road,local
children pipe please land niht street ofice broken,tenure,local
moth again office unsafe old land missing lease illegal road food,tenure,local
authority broken month cut smell watr,water,local
stil power broken illegal childrn waste,power,local
dain nobody waste sill waer old our,sanitation,local
blocked ward came pipe dirty road wire street authority,road,local
power damaged sreet pipe dirty flood families tank road road,road,local
delayed children request meter title old title,tenure,local
old affectd meter lase delayed delayd help nobody our land boken,tenure,local
supply authoriy last unsafe requet plot,tenure,local
waste tank offce waste promised came power unsafe ligt cut blocked,power,local
pwer light request area help broen illgal month unsafe,power,local
help plot road path street unsafe plot watr missing many still,road,local
still cut people broken smel tank ation urget urgent pipe path,water,local
old mising came community request lease tank,tenure,local
area wter plase pleae request supply light damaged watr land,water,local
help smell lease waste water path smell lease missing water dust sill nobody bocked nobdy,sanitation,local
please dirty dust again street night,road,local
office pipe sreet watr area our many many water,water,local
since street path tank illegal promied last path,road,local
street action smell flood land title delaed bloked,tenure,local
promised please missing wter urgent lease families,water,local
authority unsafe light cut plot wire wire urgent street,power,local
nobody waer area since supply spply wire metr please dirty tank,water,local
sreet office moring tap nobody our water our cut water,water,local
plot cut cut cut broken land land lease damged missing,tenure,local
still promised old smll brokn,sanitation,local
last action dirty supply waste pipe nobody suppy needed,water,local
tank tank water blocked tank last delyed night,water,local
flood wire wire morning nobody affectd path,power,local
wire wire boken smell land actin communiy,power,local
came land illegal chilren community bloked area,tenure,local
mornng brken damagd waste blocked water morning,sanitation,local
action tite brken illegal mising authority mssing people,tenure,local
ward pipe supply missig authority wase families mising last,water,local
our unsafe illegal nght water broken suppy water blocked waer,water,local
tap mnth diry street dust unsfe water,water,local
came drin our steet dity road drain help,sanitation,local
lese plot cut land children morning delayed,tenure,local
lease plese title missig area land leae again land affected,tenure,local
dust street request light month street flood flood last community delayed,road,local
bloced ward street ward waste blocked street broken,road,local
flood flod request bloked drty ofice people plot,sanitation,local
office request smll children lght dust dust broken still,road,local
wire many peple daaged dran plot broken dust lght unsafe,power,local
title land aain area land many action tank,tenure,local
flood meter needed failies power damged path ofice delayed unsafe,road,local
broken flood wste smell agin missing ation request delayd delayed,sanitation,local
flood metr blocked many mter authority,power,local
area since authority supply meer supply land supply,water,local
ward meter street power cut power illegal old,power,local
smell drain help community waste meter broken power drain sill wate,sanitation,local
stll morning authority title request old land,tenure,local
help still dirty illegal afected tank damaged water drain,sanitation,local
tap famiies pipe supply tank,water,local
acton people pipe drain nobdy cut dirty waste ward smel,sanitation,local
pwer illegal power urget dust power tile morning moning failies,power,local
area acton drain wire last blocked meter food,sanitation,local
cut authority food children blocked nobdy authority cut plot illegal waste promised,sanitation,local
blocked deayed ligt power boken month help poer dust power water,power,local
illeal wire pipe agan offce cut,power,local
land area promsed tile mssing plot neeed request tite,tenure,local
dirty our promised plot water auhority water waste night promied,sanitation,local
blocked community blockd flood our road drain broen water,sanitation,local
title land children many last lese came mrning illegal request,tenure,local
old dust unsafe illegal old many lght delayed unsafe,tenure,local
community cut street cut dust flood flood street,water,local
many night our missing dust flood dust title path street rquest,road,local
moring plot pipe again illegal light,power,local
old affected affeted request ward damaged land street plot,tenure,local
morning cut dirty title please plot illegal,tenure,local
came power meter wate power monh drain broken pwer,power,local
old dust children delayed reuest ward comunity title title delayed delayed,tenure,local
tank tap month tap area came illegal unsafe,water,local
brken meter needed stret childrn illegal street,power,local
blocked path smell dity old nobody blocked still boken,sanitation,local
illegal dust unsafe meter families plot still poer,power,local
last sice our tank childrn delayed plot path dust ward,road,local
childrn area mising delayd illegal old again missig land,tenure,local
dran promised nobody childrn light drain blocked drain street urgnt drain,sanitation,local
children path waste unsafe blocked smell smell area unafe month,road,local
lease area light affected flood night illegal,tenure,local
action waste blocked water promised drain supply broken,sanitation,local
smell since afected flood drain food blocked path mrning drain authority,sanitation,local
bloked promised unsafe street street unsfe path commuity,road,local
came meter meer cut people illegal smell came,power,local
ward damaged watr lase damaged last damaged dirty stret flood,sanitation,local
broken blcked wire action lease,power,local
deayed illegal path area delayed cut,tenure,local
damaged supply illegal waer dirty affected office please water blocked light,road,local
waste flod smell bocked help help sell area affected,sanitation,local
our land land flod pease lease title land path action street plot,tenure,local
office since since poer acton smell still unsafe wire land power,power,local
children chldren families ilegal ward,tenure,local
our many damaged flod blocked again dust families,road,local
came people path blocked children illegal street,road,local
blocked flod damagd still last street still bloced street,road,local
needed flood street light path stll again dust came last wire broen street,road,local
drain authority boken peple smell ward blocked,sanitation,local
supply request tank familis lese aain street street urgent,road,local
fmilies month affected wire cut damaged since cut unsafe affected nobody dust,road,local
drain dust families smell our dust office affected street title food,road,local
nobody water tap since cut flod dust tap authority suply,water,local
drain land children community cut drty,sanitation,local
plot title plot title stret dust office street children,tenure,local
wire needed power path cut drin pipe fmilies illegal,power,local
missing last drain many promised,sanitation,local
land delayed road path reqest unsafe lease urgent authority,tenure,local
land needed missing last many title illegal broken illegal needd illegal,tenure,local
lease lease last delayed nobody area month ugent street came,tenure,local
missing afected illegal ilegal lease promised action food flood,tenure,local
water neded old supply broen,water,local
pipe office tap area broken dain came pipe,water,local
families actin urgent supply damged land urgent brken spply drty,water,local
help please dlayed dust requet light ilegal drain,power,local
smell pipe dirty mnth came cut urgent,sanitation,local
smell broken flood pleae dust drain morning,sanitation,local
wire needed meter pwer cut children wire wire area,power,local
road action waer community suply,water,local
light plot bloked action plot,tenure,local
ward delayed land light smell title,tenure,local
drin night light authority promised light dirty meter,power,local
power wire missing plot authority many our plot came,tenure,local
path last road request daaged nght families unsafe flood chilren authorty waste,road,local
smell dity community drin dirty waste,sanitation,local
unsafe wire illegal pople lght night people urgent unsafe pwer,power,local
since pomised still urgent meer month light street,power,local
morning flod title again poer wire power light power since,power,local
morning dust urgent nobody authoity affected drin flood flood,sanitation,local
pipe proised missing pipe authority community wire,water,local
plot children road road dust street dust families chidren still path,road,local
stil children lease families meter lease plot title land wter light,tenure,local
athority illegal boken blocked path waste drain waste street,road,local
road flod waste came boken dust smell blocked,sanitation,local
illegal families water water nobody request tap,water,local
road many area road power children flod,road,local
children cut old affected nobody tank help,water,local
dran our damaged sill comunity tank ward,sanitation,local
last affected drain still liht path meter light meter,power,local
unsafe street metr ation community bloced blocked unsafe,road,local
nght waste title meter stret children,tenure,local
land water people metr wase,sanitation,local
smel blocked dity our many dain smell tank month many pipe last unsafe,sanitation,local
light moth many water suply cut cut,water,local
land waste action dirty action wste lease our delyed flood,sanitation,local
powr power cut since light families,power,local
area nobody missing drty water bloced drin many urgent,sanitation,local
flood nigt lease wire power month cut meter stret authority,power,local
drain delayed unsafe wire cut area please last ilegal children land,tenure,local
land drain communty cut title illegal land title affected area,tenure,local
help delayed our power last tank street,water,local
broen unsafe still unsafe missing cut since broen dirty still tank,power,local
urgent children broken flood our drain promised,water,local
road path broken urgent path,road,local
tank old help lease pipe night came lease,tenure,local
ward tank children dirty illegal our broken,water,local
action ttle land fmilies land tite illegal authority wire nobody lease our cut street unsafe,tenure,local
drain help meter pipe broken requet dust moth road cut,water,local
night damaged dirty food area many dain illegal needed again nbody drain waer,sanitation,local
dust land reqest light wire our ward power,power,local
deayed ation light people request waer wase wire light mrning meter powr agin,power,local
water tank water people smell,water,local
action damaged came land deayed leae,tenure,local
road meter street illegal meter children illegl urent authoriy,power,local
drain offie broken flood waste drty water nobody blocked pipe,sanitation,local
supply our supply supply meter waste tap came,water,local
last land many path title ttle,tenure,local
pleae wire light famiies light power damaged cut,power,local
smell waste blockd cut waste street wire supply dity,sanitation,local
light again moning mter flod cut,power,local
meter suppy authority unsafe wire our ilegal illegal ligt,power,local
month mnth dain bloked cut illegal water night street,road,local
smell title families affcted title unsafe illegal illegal wire aain illgal,tenure,local
tank pipe tap tap illegal urgent,water,local
dirty smel missing broken dust wire actin flood blocked urgent,road,local
famiies supply missing flod road sice title illegal people,tenure,local
lght powr came needed moth powr wire aain road,power,local
land plot lease area ttle delayed help,tenure,local
action pwer last pomised area dust old came lght boken title,power,local
moth powr unsafe affected light flood wste children delayed many,power,local
old illegal community help diry comunity lease requst blocked broken,sanitation,local
diry wase waste office illgal illegal unsafe water brokn again wire,sanitation,local
smell light wter our promised water street tile wase afected waste action waste,sanitation,local
dirty tank land authority tank cut acton supply light land afected,water,local
area still plot our monh flood ttle title old,tenure,local
title families affectd pomised title many lease dlayed,tenure,local
drain dirty dirty old water unsafe needed tank came,sanitation,local
water noody flood suply authority smell dain ward promised,sanitation,local
land pipe waste cut peole suppy,water,local
action waste wire cut waste dirty wste path authority niht since area waste,sanitation,local
help blocked power flood road street street flood,road,local
stret delayed authority land again road lease title illegal urgnt,tenure,local
children broken request drain people help sell nobody watr pipe,sanitation,local
morning path since damaged offce affeted urent light light illegal,road,local
unsafe pipe road dust drty illegal nobdy broken rquest waer road ward,road,local
sill tank delayed dirty office community supply,water,local
dust wire noboy pomised road our dust unsafe,road,local
mising broken illegal blocked promised,tenure,local
tap came water tap waer broken help,water,local
unsafe our please help monh power,road,local
street affected delayed road damaged again night action blocked,road,local
drain wste last our delayd,sanitation,local
action plot plot plot area dirty land power,tenure,local
still came plot path wire wire wire authoriy children cut,power,local
please dirty meter wire action metr action,power,local
blocked pipe tap broken request cut tank lease tank failies road request,water,local
noboy night path lese water last dust usafe,road,local
lease waste nobody path plot authority please night plot,tenure,local
lght broken still office plese since please flood,sanitation,local
flood old month plot help lease needed lease,tenure,local
waste morning pipe broken meter dity watr street wire water tank,power,local
offie authority help illegal broken illegal came path came lease,tenure,local
lese cut tite land cut delyed ttle moning tap land,tenure,local
plot damaged request please old blocked waste,road,local
land illegal cut came old please old land,tenure,local
people please wire wire night authorty light leae delayed,power,local
street since path road night,road,local
missing our land request brken broken dirty land wter moring pipe promised,tenure,local
office promised please unsafe drin month came pomised pipe pipe,water,local
plot flood many tank lease children,tenure,local
nobody dity missing promised title came,tenure,local
wire pipe illegal lase broken delayed power path broken community,tenure,local
drin path meter blocked dity,sanitation,local
delayed our old old broken plase old path missing lease help,tenure,local
broken illegal again wste broken dain meer action,power,local
waste path ofice action path people road light help last broen nobody,sanitation,local
dust tank needed mnth wire,road,local
unsae wire metr promied water power cut families families dran pipe,power,local
help our water families road ttle unsafe smel,sanitation,local
missing urgent request unsafe road area cut people pipe,road,local
people mrning blocked dust street wste,road,local
tap tank famiies pipe cut ward still dirty ward,water,local
night ligt illegal land night children tank pipe tap water pipe many illegl tank,water,local
ligt many power old promised still smell broken lease area brken light,power,local
affected supply offie morning light pipe,water,local
old street tank old action our dust street,road,local
still drain bocked blocked dirty flood sice came came tank,sanitation,local
plot waste night area waste dirty drain blocked,sanitation,local
children affected smell moning mssing month nobody tite meter,tenure,local
moring old area wire light power ilegal power community request,power,local
road many path children tile plot old area land pleae please our,tenure,local
smell smell needed many flod meer since authority tank,sanitation,local
meter wire authority office ofice unsafe brokn street dust wter cut,power,local
illegal office damaged power came families lght broken power supply area,power,local
authority old wire pipe pipe ward,water,local
tap cut path cut last help water wter still,water,local
title missing cut land needd morning help old,tenure,local
wase night dirty brokn pipe water nigt tap noboy land dran,sanitation,local
tap mising request street ward broken tap,water,local
last athority still land dran title plot promised bocked,tenure,local
tite path please last ward steet flood affected night,road,local
plot waste pipe children flod our pipe brken supply help,water,local
damaged blocked path road people road promised nobody,road,local
cut needd flood light action,power,local
unsae old illegal help broken morning needed ugent,sanitation,local
children morning land tank our plot cut affeted old land,tenure,local
old night nobody families drain damged,sanitation,local
dran ttle plot light authority drain tile stil dust,tenure,local
supply lease road powr power unsafe road urgent ward,power,local
tank land lease lease land cut since action,tenure,local
blocked title families plase flood night street delayed path affected old dust affected needed,road,local
path cut still our nobody supply ward pipe,water,local
path meter damaged many many ugent blocked flood tank flood,road,local
pwer affected unsafe ward wire pwer,power,local
our power light wire area road power light again broken,power,local
